External ID,Name,Product Type,Internal Reference,Weight (Kg),Sales Description,Sales Price,Cost,Barcode
prod_1601_UPS_014,UPS-YDC3340S Online UPS 40KVA,Goods,1601-UPS-014,180,"40KVA High Frequency Online UPS, robust performance",,,
prod_1601_UPS_015,UPS-EP60 Transformer UPS 60KVA,Goods,1601-UPS-015,350,"60KVA Transformer-based Online UPS, 3:3 Phase",,,
prod_1601_UPS_016,Battery 12V 5AH,Goods,1601-UPS-016,1.8,"Lead-acid battery, 90x70x101mm, for small UPS",,,
prod_1601_UPS_017,Battery 12V 7AH,Goods,1601-UPS-017,2.2,"Lead-acid battery, 151x65x94mm, for standard UPS",,,
prod_1601_UPS_018,Battery 12V 9AH,Goods,1601-UPS-018,2.5,"Lead-acid battery, 151x65x94mm, for high-capacity backup",,,
prod_1601_UPS_019,Battery 12V 18AH,Goods,1601-UPS-019,5.5,"Lead-acid battery, 181x77x167mm, deep cycle use",,,
prod_1601_UPS_020,Battery 12V 65AH,Goods,1601-UPS-020,19.5,"Lead-acid battery, 350x167x174mm, industrial UPS",,,
prod_1601_UPS_021,Battery 12V 100AH,Goods,1601-UPS-021,30,"Lead-acid battery, 329x172x219mm, for long autonomy",,,
prod_1601_UPS_022,Battery 12V 200AH,Goods,1601-UPS-022,60,"Lead-acid battery, 522x240x224mm, heavy-duty UPS",,,
prod_1602_Control_P_001,11KW ATS Control Panel,Goods,1602-Control P-001,12,11KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_002,26KW ATS Control Panel,Goods,1602-Control P-002,18,26KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_003,15KW ATS Control Panel,Goods,1602-Control P-003,15,15KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_004,22KW ATS Control Panel,Goods,1602-Control P-004,17,22KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_005,30KW ATS Control Panel,Goods,1602-Control P-005,20,30KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_006,37KW ATS Control Panel,Goods,1602-Control P-006,22,37KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_007,5.5KW ATS Control Panel,Goods,1602-Control P-007,10,5.5KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_008,7.5KW ATS Control Panel,Goods,1602-Control P-008,11,7.5KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_009,9KW ATS Control Panel,Goods,1602-Control P-009,11.5,9KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_010,13KW ATS Control Panel,Goods,1602-Control P-010,14,13KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_011,18.5KW ATS Control Panel,Goods,1602-Control P-011,16,18.5KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_012,45KW ATS Control Panel,Goods,1602-Control P-012,25,45KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_013,55KW ATS Control Panel,Goods,1602-Control P-013,28,55KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_014,66KW ATS Control Panel,Goods,1602-Control P-014,32,66KW Automatic Transfer Switch Control Panel,,,
prod_1602_Control_P_015,75KW Soft Start Panel,Goods,1602-Control P-015,35,75KW Soft Start Motor Control Panel,,,
prod_1602_Control_P_016,92KW Soft Start Panel,Goods,1602-Control P-016,40,92KW Soft Start Motor Control Panel,,,
prod_1602_Control_P_017,110KW Soft Start Panel,Goods,1602-Control P-017,45,110KW Soft Start Motor Control Panel,,,
prod_1603_D.GEN_001,12.8KW/16KVA Diesel Generator Silent,Goods,1603-D.GEN-001,450,"12.8KW Silent Diesel Generator, soundproof enclosure",,,
prod_1603_D.GEN_002,16.8KW/20KVA Diesel Generator Silent,Goods,1603-D.GEN-002,480,"16.8KW Silent Diesel Generator, reliable power",,,
prod_1603_D.GEN_003,24KW/30KVA Diesel Generator Silent,Goods,1603-D.GEN-003,550,"24KW Silent Diesel Generator, efficient performance",,,
prod_1603_D.GEN_004,32KW/40KVA Diesel Generator Open,Goods,1603-D.GEN-004,600,32KW Open-frame Diesel Generator,,,
prod_1603_D.GEN_005,40KW/50KVA Diesel Generator Silent,Goods,1603-D.GEN-005,750,40KW Silent Diesel Generator,,,
prod_1603_D.GEN_006,50.4KW/63KVA Diesel Generator Silent,Goods,1603-D.GEN-006,850,50.4KW Silent Diesel Generator,,,
prod_1603_D.GEN_007,50.4KW/63KVA Diesel Generator Open,Goods,1603-D.GEN-007,800,50.4KW Open-frame Diesel Generator,,,
prod_1603_D.GEN_008,68KW/85KVA Diesel Generator Silent,Goods,1603-D.GEN-008,950,68KW Silent Diesel Generator,,,
prod_1603_D.GEN_009,64KW/80KVA Diesel Generator Open,Goods,1603-D.GEN-009,900,64KW Open-frame Diesel Generator,,,
prod_1603_D.GEN_010,90KW/112KVA Diesel Generator Silent,Goods,1603-D.GEN-010,1200,"90KW Silent Diesel Generator, industrial use",,,
prod_1603_D.GEN_011,120KW/150KVA Diesel Generator Silent,Goods,1603-D.GEN-011,1500,"120KW Silent Diesel Generator, enterprise backup",,,
prod_1603_D.GEN_012,160KW/200KVA Diesel Generator Silent,Goods,1603-D.GEN-012,1800,160KW Silent Diesel Generator,,,
prod_1603_D.GEN_013,200KW/250KVA Diesel Generator Silent,Goods,1603-D.GEN-013,2200,200KW Silent Diesel Generator,,,
prod_1603_D.GEN_014,250KW/313KVA Diesel Generator Silent,Goods,1603-D.GEN-014,2500,250KW Silent Diesel Generator,,,
prod_1604_Solar_P_001,620W Solar Panel,Goods,1604-Solar P-001,32,620W Bifacial High Efficiency Solar Panel,,,
